val_loss,val_mIoU,val_F1,val_OA,epoch,step,train_loss,train_mIoU,train_F1,train_OA
0.7269979119300842,0.7168787084148336,0.8235601682241247,0.8796779215245575,0,85,,,,
,,,,0,85,1.1707442998886108,0.5343253040724137,0.6613404090813666,0.7768009590228978
0.640613317489624,0.7674657755667444,0.8644959737934272,0.8909530781579355,1,171,,,,
,,,,1,171,0.8528030514717102,0.6802763038491004,0.8018683528557695,0.8464078671620615
0.6159607172012329,0.7764939235978202,0.8708371108576646,0.894600948778589,2,257,,,,
,,,,2,257,0.8034219145774841,0.7021669914651423,0.8191493373866662,0.8552672589600399
0.5712655782699585,0.7910215868639456,0.8807769020996432,0.9000185908510545,3,343,,,,
,,,,3,343,0.7680914402008057,0.7135803783088634,0.8275413886846004,0.861925977371498
0.5725463032722473,0.78582334719887,0.8769521154102081,0.9002788481302363,4,429,,,,
,,,,4,429,0.7326917052268982,0.7275459326491667,0.8374787478232374,0.8705487215324763
0.5629200339317322,0.796413046535472,0.8842421130138838,0.9028781767008496,5,515,,,,
,,,,5,515,0.7057112455368042,0.7355004977044476,0.8432784460688577,0.8738812475568106
0.558168888092041,0.7978366926339455,0.8851688470516497,0.9038884832867052,6,601,,,,
,,,,6,601,0.7088585495948792,0.7371267857496265,0.844213670434377,0.8756472710289883
0.5532698035240173,0.8033850745844209,0.8888182990051039,0.9061353747892033,7,687,,,,
,,,,7,687,0.6933991312980652,0.7496835151496717,0.8531267214797811,0.8817979271761114
0.5496728420257568,0.8038729858498863,0.8891219045049462,0.9060204244702432,8,773,,,,
,,,,8,773,0.699701726436615,0.746681673343493,0.8510001802740739,0.8806388589563732
0.5502229928970337,0.8035806873511525,0.8889226159123076,0.9058446632981974,9,859,,,,
,,,,9,859,0.682245135307312,0.7489755003468588,0.8523967089549631,0.8823062057969181
0.5602564215660095,0.7996218250193489,0.8863037107199385,0.9045808318019734,10,945,,,,
,,,,10,945,0.7178311944007874,0.7378596066868119,0.844808426661392,0.8753669904275141
0.5627376437187195,0.7974379392725942,0.8849589438124648,0.9024912728315267,11,1031,,,,
,,,,11,1031,0.6901410222053528,0.7489926406852726,0.8525770215325531,0.8811999039139409
0.5581926703453064,0.7893337310300871,0.8793340285278564,0.9007481625359212,12,1117,,,,
,,,,12,1117,0.6996368169784546,0.7501277329091864,0.8533907747084527,0.8810711613576575
0.5713212490081787,0.8002679793060132,0.8869474234367714,0.9027098552841952,13,1203,,,,
,,,,13,1203,0.6773245334625244,0.7548959207876496,0.8560916759136639,0.887439318824505
0.5485253930091858,0.7990735558270025,0.8859731015853132,0.9047756314300295,14,1289,,,,
,,,,14,1289,0.6776363253593445,0.758436982421042,0.8590788702223083,0.8870712756737967
0.5417861938476562,0.8056424773207134,0.8903511690635451,0.905452771133866,15,1375,,,,
,,,,15,1375,0.6604000329971313,0.7657895868720316,0.8641369558500246,0.8896318986866562
0.5545651912689209,0.8054770463031737,0.890340394879743,0.9038044262471008,16,1461,,,,
,,,,16,1461,0.6508935689926147,0.7695008597866191,0.8667125569728891,0.891132507746181
0.5472497940063477,0.8065519979915254,0.8909046094261391,0.907292634838523,17,1547,,,,
,,,,17,1547,0.6462609171867371,0.7745031995424104,0.870033958079605,0.8935874569804307
0.5432795286178589,0.8117661362683686,0.8942685017430604,0.9076537678830222,18,1633,,,,
,,,,18,1633,0.6506491899490356,0.7738689014751218,0.8693664000007967,0.8950843529441143
0.5417453646659851,0.8067890072498811,0.8911409550260352,0.9059444901799679,19,1719,,,,
,,,,19,1719,0.6535006761550903,0.776809877506335,0.8712844886545742,0.8973262999855485
0.5431448817253113,0.8120671202449321,0.8945332647593796,0.9081759899262295,20,1805,,,,
,,,,20,1805,0.6359243392944336,0.7806005739197758,0.8736539900407942,0.8991747076511232
0.5475535988807678,0.8094343554828269,0.892857629845269,0.9064491251292823,21,1891,,,,
,,,,21,1891,0.6179304718971252,0.7849486804669725,0.876652520966575,0.9010414679702857
0.5378397107124329,0.8120766438296438,0.8946605416313931,0.9067658635678384,22,1977,,,,
,,,,22,1977,0.6134531497955322,0.784629225656651,0.8764514876551568,0.9013072961792393
0.5428622364997864,0.8119421125123297,0.8945373761775803,0.9066489374449875,23,2063,,,,
,,,,23,2063,0.6170598268508911,0.7851753715096988,0.876837300344533,0.9009390682965791
0.549532949924469,0.8105507679233916,0.8936460430778945,0.9060414021411833,24,2149,,,,
,,,,24,2149,0.6036332845687866,0.7925320920079708,0.8818187372493698,0.9035147240087534
0.5490826964378357,0.8101011220930671,0.8933951045814579,0.905336149919023,25,2235,,,,
